session_id,file_source,start_time,end_time,transaction_type,withdrawal_amount,deposit_amount,card_inserted,pin_entered,transaction_completed,notes_dispensed,notes_taken,card_taken,line_count,character_count,session_length_category,authorization_code
ABM250EJ_20250618_20250618.txt_SESSION_62_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 09:04,06/18/2025 09:06,deposit,,,True,True,True,False,False,True,87,1788,long,090513
ABM250EJ_20250618_20250618.txt_SESSION_63_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 09:06,06/18/2025 09:07,,,,True,True,True,False,False,True,27,613,normal,
ABM250EJ_20250618_20250618.txt_SESSION_64_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 09:08,06/18/2025 09:08,balance_inquiry,,,True,False,True,False,False,True,31,690,normal,
ABM250EJ_20250618_20250618.txt_SESSION_65_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 09:09,06/18/2025 09:10,withdrawal,13000.0,,True,True,True,True,True,True,45,1072,normal,090718
ABM250EJ_20250618_20250618.txt_SESSION_66_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 09:10,06/18/2025 09:12,balance_inquiry,,,True,False,True,False,False,True,13,318,normal,
ABM250EJ_20250618_20250618.txt_SESSION_67_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 09:12,06/18/2025 09:14,withdrawal,22000.0,,True,True,True,True,True,True,45,1072,normal,091121
ABM250EJ_20250618_20250618.txt_SESSION_68_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 09:15,06/18/2025 09:16,balance_inquiry,,,True,True,True,False,False,True,36,772,normal,091623
ABM250EJ_20250618_20250618.txt_SESSION_69_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 09:16,06/18/2025 09:17,withdrawal,35000.0,,True,True,True,True,True,True,45,1072,normal,091725
ABM250EJ_20250618_20250618.txt_SESSION_70_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 09:17,06/18/2025 09:18,balance_inquiry,,,True,False,True,False,False,True,31,690,normal,
ABM250EJ_20250618_20250618.txt_SESSION_71_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 09:27,06/18/2025 09:28,deposit,,,True,True,True,False,False,True,132,2688,long,092629
ABM250EJ_20250618_20250618.txt_SESSION_72_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 09:29,06/18/2025 09:31,deposit,,,True,True,True,False,False,True,87,1789,long,093031
ABM250EJ_20250618_20250618.txt_SESSION_73_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 09:31,06/18/2025 09:33,balance_inquiry,,,True,True,True,False,False,True,33,732,normal,
ABM250EJ_20250618_20250618.txt_SESSION_74_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 09:35,06/18/2025 09:36,withdrawal,40000.0,,True,True,True,True,True,True,45,1072,normal,093535
ABM250EJ_20250618_20250618.txt_SESSION_75_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 09:36,06/18/2025 09:37,withdrawal,2000.0,,True,True,True,True,True,True,45,1072,normal,093437
ABM250EJ_20250618_20250618.txt_SESSION_76_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 09:38,06/18/2025 09:40,balance_inquiry,,,True,True,True,False,False,True,35,775,normal,
ABM250EJ_20250618_20250618.txt_SESSION_77_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 09:40,06/18/2025 09:43,deposit,,,True,True,True,False,False,True,93,1905,long,094041
ABM250EJ_20250618_20250618.txt_SESSION_78_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 09:43,06/18/2025 09:45,withdrawal,50000.0,,True,True,True,True,True,True,45,1072,normal,094443
ABM250EJ_20250618_20250618.txt_SESSION_79_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 09:45,06/18/2025 09:47,deposit,,,True,True,True,False,False,True,87,1789,long,094645
ABM250EJ_20250618_20250618.txt_SESSION_80_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 09:49,06/18/2025 09:50,deposit,,,True,True,True,False,False,True,87,1784,long,094847
ABM250EJ_20250618_20250618.txt_SESSION_81_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 09:55,06/18/2025 09:56,withdrawal,5000.0,,True,True,True,True,True,True,45,1072,normal,095349
ABM250EJ_20250618_20250618.txt_SESSION_82_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 10:00,06/18/2025 10:01,withdrawal,81000.0,,True,True,True,True,True,True,45,1072,normal,100051
ABM250EJ_20250618_20250618.txt_SESSION_83_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 10:01,06/18/2025 10:02,withdrawal,86000.0,,True,True,True,True,True,True,45,1072,normal,100153
ABM250EJ_20250618_20250618.txt_SESSION_84_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 10:02,06/18/2025 10:03,withdrawal,4000.0,,True,True,True,True,True,True,45,1072,normal,100055
ABM250EJ_20250618_20250618.txt_SESSION_85_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 10:03,06/18/2025 10:05,withdrawal,21000.0,,True,True,True,True,True,True,50,1181,normal,100458
ABM250EJ_20250618_20250618.txt_SESSION_86_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 10:05,06/18/2025 10:05,balance_inquiry,,,True,True,True,False,False,True,31,704,normal,055497
ABM250EJ_20250618_20250618.txt_SESSION_88_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 10:21,06/18/2025 10:22,,,,True,True,True,False,False,True,28,672,normal,
ABM250EJ_20250618_20250618.txt_SESSION_89_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 10:22,06/18/2025 10:23,balance_inquiry,,,True,True,True,False,False,True,31,704,normal,087838
ABM250EJ_20250618_20250618.txt_SESSION_90_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 10:23,06/18/2025 10:25,deposit,,,True,True,True,False,False,True,87,1788,long,102264
ABM250EJ_20250618_20250618.txt_SESSION_91_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 10:26,06/18/2025 10:27,balance_inquiry,,,True,True,True,False,False,True,15,374,normal,
